2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : SESSIONNAME
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ALLUSERSPROFILE
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PROCESSOR_ARCHITECTURE
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PSModulePath
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : SystemDrive
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : MAVEN_HOME
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : USERNAME
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ProgramFiles(x86)
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : HELM
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : FPS_BROWSER_USER_PROFILE_STRING
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : PATHEXT
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : DriverData
2021-11-26 13:05:35.277  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : OneDriveConsumer
2021-11-26 13:05:35.278  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ProgramData
